"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","274.4","1381.4","13.8","70.9","580.6","4.1","1.1","337.2"
"Bijan Robinson","ATL","RB2","289.6","1427.7","9.5","79.6","736.0","3.8","1.8","332.2"
"Christian McCaffrey","SF","RB3","269.4","1093.6","8.7","78.4","694.1","4.6","1.1","295.7"
"Jonathan Taylor","IND","RB4","327.7","1509.4","12.9","45.1","338.2","1.5","1.7","289.9"
"Puka Nacua","LAR","WR1","13.6","85.0","1.4","117.0","1539.0","9.0","1.0","281.3"
"Ja'Marr Chase","CIN","WR2","3.0","17.0","0.0","121.5","1512.1","10.6","1.0","275.4"
"Jaxon Smith-Njigba","SEA","WR3","5.5","30.4","0.1","110.9","1568.1","9.2","1.1","268.6"
"Derrick Henry","BAL","RB5","314.0","1569.0","13.4","17.8","172.2","0.7","1.7","264.2"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.0","1391.1","10.5","0.4","261.1"
"De'Von Achane","MIA","RB6","237.9","1197.2","6.0","65.3","490.9","4.0","1.0","259.3"
"James Cook III","BUF","RB7","287.3","1403.2","10.3","33.3","281.7","1.9","2.4","253.5"
"Ashton Jeanty","LV","RB8","281.4","1107.5","8.0","58.7","414.2","3.3","1.1","247.5"
"Chase Brown","CIN","RB9","239.4","1040.5","7.8","64.1","427.9","3.9","1.1","247.1"
"Saquon Barkley","PHI","RB10","295.9","1310.7","8.2","42.0","330.4","2.1","1.0","245.1"
"Josh Jacobs","GB","RB11","288.8","1161.6","12.0","35.7","283.9","1.2","1.3","239.1"
"Drake London","ATL","WR5","0.0","0.0","0.0","101.7","1328.2","9.4","1.0","238.3"
"Omarion Hampton","LAC","RB12","249.1","1072.5","10.0","51.6","352.8","2.0","1.1","237.7"
"Breece Hall","NYJ","RB13","259.3","1159.0","6.5","47.4","411.3","2.2","1.7","229.8"
"Kenneth Walker III","KC","RB14","255.7","1158.8","8.3","45.1","346.8","1.2","0.9","228.7"
"Jeremiyah Love","ARI","RB15","238.3","1074.7","7.2","54.4","419.3","2.1","2.2","228.1"
"CeeDee Lamb","DAL","WR6","2.4","12.5","0.0","97.3","1296.0","7.5","0.3","224.2"
"Rashee Rice","KC","WR7","5.4","25.5","0.9","98.8","1099.0","9.7","0.6","224.0"
"Kyren Williams","LAR","RB16","240.2","1119.1","10.1","33.5","239.6","2.2","1.5","223.2"
"Cam Skattebo","NYG","RB17","243.4","1016.0","8.1","45.8","364.3","2.5","1.6","221.5"
"Justin Jefferson","MIN","WR8","1.3","5.5","0.0","98.6","1302.2","6.8","0.3","220.3"
"Javonte Williams","DAL","RB18","255.5","1157.1","10.4","33.0","191.8","1.2","1.6","217.4"
"A.J. Brown","NE","WR9","0.0","0.0","0.0","88.7","1234.4","7.6","0.3","213.1"
"George Pickens","DAL","WR10","0.3","-0.3","0.0","82.7","1200.7","8.4","0.5","210.8"
"Chris Olave","NO","WR11","0.3","0.0","0.0","94.5","1170.5","7.8","0.3","210.6"
"Travis Etienne Jr.","NO","RB19","244.6","1036.7","5.4","44.9","351.5","3.0","1.0","209.6"
