"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1539.0","9.0","13.6","85.0","1.4","1.0","281.3"
"Ja'Marr Chase","CIN","121.5","1512.1","10.6","3.0","17.0","0.0","1.0","275.4"
"Jaxon Smith-Njigba","SEA","110.9","1568.1","9.2","5.5","30.4","0.1","1.1","268.6"
"Amon-Ra St. Brown","DET","117.0","1391.1","10.5","3.1","11.8","0.0","0.4","261.1"
"Drake London","ATL","101.7","1328.2","9.4","0.0","0.0","0.0","1.0","238.3"
"CeeDee Lamb","DAL","97.3","1296.0","7.5","2.4","12.5","0.0","0.3","224.2"
"Rashee Rice","KC","98.8","1099.0","9.7","5.4","25.5","0.9","0.6","224.0"
"Justin Jefferson","MIN","98.6","1302.2","6.8","1.3","5.5","0.0","0.3","220.3"
"A.J. Brown","NE","88.7","1234.4","7.6","0.0","0.0","0.0","0.3","213.1"
"George Pickens","DAL","82.7","1200.7","8.4","0.3","-0.3","0.0","0.5","210.8"
"Chris Olave","NO","94.5","1170.5","7.8","0.3","0.0","0.0","0.3","210.6"
"Nico Collins","HOU","82.5","1211.9","7.2","1.4","8.3","0.4","0.8","207.2"
"Zay Flowers","BAL","81.9","1170.0","6.5","9.9","58.8","0.5","1.5","202.8"
"Malik Nabers","NYG","78.8","1047.8","8.3","2.7","7.9","0.0","0.4","194.3"
"Garrett Wilson","NYJ","96.4","1090.9","6.4","1.1","4.3","0.0","1.0","194.0"
"DeVonta Smith","PHI","87.8","1135.1","6.0","0.0","0.0","0.0","0.3","192.9"
"Emeka Egbuka","TB","73.2","1098.4","7.5","1.4","7.3","0.0","0.3","191.8"
"Tetairoa McMillan","CAR","78.5","1126.8","6.4","0.0","0.0","0.0","0.9","188.7"
"Davante Adams","LAR","68.5","926.1","10.2","0.0","0.0","0.0","0.2","187.8"
"Tee Higgins","CIN","70.7","965.8","9.1","0.0","0.0","0.0","0.2","186.1"
"Jameson Williams","DET","64.4","1065.3","6.6","7.3","42.0","0.5","0.2","185.1"
"Rome Odunze","CHI","63.4","980.2","8.1","0.3","1.3","0.0","0.3","178.1"
"Terry McLaurin","WAS","70.7","979.8","7.2","0.3","0.3","0.0","0.3","176.1"
"Alec Pierce","IND","63.8","1050.1","6.5","0.0","0.0","0.0","0.3","175.5"
"Ladd McConkey","LAC","76.9","977.0","6.4","0.0","0.0","0.0","0.3","174.1"
