Adrian Peterson	Jamaal Charles	Le'Veon Bell	Eddie Lacy	Marshawn Lynch	C.J. Anderson	Antonio Brown	Jeremy Hill	DeMarco Murray	Dez Bryant
Randall Cobb	A.J. Green	Odell Beckham Jr.	Rob Gronkowski	Alfred Morris	Calvin Johnson	LeSean McCoy	Demaryius Thomas	Julio Jones	Matt Forte
Justin Forsett	Lamar Miller	Mark Ingram II	T.Y. Hilton	Aaron Rodgers	Andrew Luck	Frank Gore	Alshon Jeffery	Melvin Gordon III	Carlos Hyde
Jordan Matthews	T.J. Yeldon	Keenan Allen	Jonathan Stewart	Emmanuel Sanders	DeAndre Hopkins	Latavius Murray	Brandin Cooks	Mike Evans	Jimmy Graham
Greg Olsen	Joseph Randle	Todd Gurley II	Andre Ellington	Julian Edelman	Travis Kelce	Jeremy Maclin	Chris Ivory	Ameer Abdullah	Andre Johnson
C.J. Spiller	Amari Cooper	Peyton Manning	DeSean Jackson	Brandon Marshall	Davante Adams	Russell Wilson	Doug Martin	Arian Foster	Drew Brees
Tevin Coleman	Allen Robinson	Vincent Jackson	Rashad Jennings	Martellus Bennett	LeGarrette Blount	Golden Tate	Tom Brady	Joique Bell	Giovani Bernard
Charles Johnson	Jarvis Landry	Jason Witten	Ben Roethlisberger	David Johnson	Isaiah Crowell	Nelson Agholor	Delanie Walker	Steve Smith Sr.	Sammy Watkins
Matt Ryan	Knile Davis	Ryan Mathews	Mike Wallace	Duke Johnson	Larry Fitzgerald	Jordan Cameron	Danny Woodhead	Bishop Sankey	Eric Decker
Ronnie Hillman	Devonta Freeman	Shane Vereen	Roddy White	Fred Jackson	Charles Sims	Darren McFadden	David Cobb	Alfred Blue	Tre Mason
Breshad Perriman	Tony Romo	Torrey Smith	Jonas Gray	Brandon LaFell	Matt Jones	Jerick McKinnon	John Brown	Sam Bradford	Reggie Bush
Devin Funchess	Cameron Artis-Payne	Marques Colston	Denard Robinson	Phillip Dorsett II	Anquan Boldin	Karlos Williams	DeVante Parker	Ryan Tannehill	Doug Baldwin
Tyler Eifert	Philip Rivers	DeAngelo Williams	Michael Floyd	Lorenzo Taliaferro	Martavis Bryant	Victor Cruz	Rueben Randle	Owen Daniels	Michael Crabtree
CAR DEF	Jordan Reed	Pierre Garcon	DEN DEF	STL DEF	MIA DEF	BUF DEF	HOU DEF	SEA DEF	Darren Sproles
Matthew Stafford	NYJ DEF	Eli Manning	Cam Newton	Christine Michael	James Starks	Daniel Herron	Andre Williams	Brian Quick	CIN DEF
