David Johnson	Le'Veon Bell	Antonio Brown	Julio Jones	LeSean McCoy	Melvin Gordon III	Odell Beckham Jr.	Devonta Freeman	Jordan Howard	Jordy Nelson
Dez Bryant	Kareem Hunt	Leonard Fournette	Michael Thomas	Todd Gurley II	A.J. Green	Ezekiel Elliott	Jay Ajayi	DeMarco Murray	Mike Evans
Lamar Miller	Christian McCaffrey	Amari Cooper	Rob Gronkowski	Aaron Rodgers	Brandin Cooks	Ty Montgomery II	Doug Baldwin	DeAndre Hopkins	Isaiah Crowell
Davante Adams	Kelvin Benjamin	Marshawn Lynch	Bilal Powell	Demaryius Thomas	Carlos Hyde	Keenan Allen	T.Y. Hilton	Dalvin Cook	Joe Mixon
Tom Brady	Martavis Bryant	Travis Kelce	Mark Ingram II	Ameer Abdullah	Alshon Jeffery	Michael Crabtree	Greg Olsen	Allen Robinson	Terrelle Pryor Sr.
Jarvis Landry	Emmanuel Sanders	Tyreek Hill	Tevin Coleman	Larry Fitzgerald	Jordan Reed	Doug Martin	Drew Brees	C.J. Anderson	Frank Gore
Terrance West	Mike Gillislee	Russell Wilson	Sammy Watkins	Rob Kelley	Golden Tate	Eddie Lacy	DeVante Parker	Pierre Garcon	Paul Perkins
DeSean Jackson	Jimmy Graham	Stefon Diggs	Duke Johnson	Jonathan Stewart	LeGarrette Blount	Danny Woodhead	Adrian Peterson	Derrick Henry	Darren McFadden
Theo Riddick	Jamison Crowder	Matt Forte	Matt Ryan	Thomas Rawls	James White	Dak Prescott	Tyrell Williams	Brandon Marshall	Cam Newton
Delanie Walker	Jamaal Charles	Samaje Perine	Randall Cobb	Willie Snead IV	Darren Sproles	Eric Decker	Jeremy Maclin	Martellus Bennett	Kyle Rudolph
Rishard Matthews	Marcus Mariota	Adam Thielen	Jordan Matthews	Shane Vereen	Jeremy Hill	Danny Amendola	Jacquizz Rodgers	Corey Coleman	Giovani Bernard
C.J. Prosise	Kevin White	Chris Hogan	Rex Burkhead	Marvin Jones Jr.	Donte Moncrief	Tyler Eifert	DEN DEF	Mike Wallace	Kenny Britt
John Brown	Josh Doctson	Ted Ginn Jr.	Jamaal Williams	Latavius Murray	Jameis Winston	Corey Davis	DeAndre Washington	D'Onta Foreman	Charcandrick West
Chris Thompson	Derek Carr	KC DEF	Marlon Mack	HOU DEF	Andrew Luck	Alvin Kamara	Jonathan Williams	SEA DEF	Matt Breida
ARI DEF	NE DEF	Kirk Cousins	MIN DEF	Zach Ertz	LAR DEF	PIT DEF	Zay Jones	Ben Roethlisberger	JAX DEF
