Saquon Barkley	Christian McCaffrey	Alvin Kamara	Ezekiel Elliott	Le'Veon Bell	David Johnson	DeAndre Hopkins	Nick Chubb	James Conner	Davante Adams
Tyreek Hill	Mike Evans	JuJu Smith-Schuster	Travis Kelce	Dalvin Cook	Julio Jones	Todd Gurley II	Michael Thomas	Odell Beckham Jr.	Joe Mixon
Aaron Jones Sr.	Chris Carson	Leonard Fournette	Keenan Allen	Antonio Brown	Devonta Freeman	Kerryon Johnson	George Kittle	Amari Cooper	Adam Thielen
Brandin Cooks	Stefon Diggs	Sony Michel	Damien Williams	Mark Ingram II	Zach Ertz	Julian Edelman	Josh Jacobs	David Montgomery	Patrick Mahomes
Tyler Lockett	Marlon Mack	Robert Woods	Kenny Golladay	Derrick Henry	Chris Godwin Jr.	Cooper Kupp	Tyler Boyd	Melvin Gordon III	Phillip Lindsay
Aaron Rodgers	Calvin Ridley	Deshaun Watson	Kenyan Drake	T.Y. Hilton	DJ Moore	James White	Miles Sanders	Austin Ekeler	Duke Johnson
O.J. Howard	Allen Robinson	Evan Engram	Sammy Watkins	Hunter Henry	Derrius Guice	A.J. Green	Gus Edwards	Alshon Jeffery	Tevin Coleman
Rashaad Penny	Matt Breida	Latavius Murray	Tarik Cohen	LeSean McCoy	Mike Williams	Devin Singletary	Jarvis Landry	Josh Gordon	Jared Cook
Dede Westbrook	Carson Wentz	Robbie Chosen	Christian Kirk	Sterling Shepard	Jordan Howard	Darrell Henderson Jr.	Baker Mayfield	William Fuller V	Marvin Jones Jr.
Ito Smith	Vance McDonald	Royce Freeman	Tony Pollard	Matt Ryan	Russell Wilson	Dante Pettis	Lamar Jackson	Cam Newton	Peyton Barber
CHI DEF	Curtis Samuel	Carlos Hyde	Drew Brees	Emmanuel Sanders	Corey Davis	Dion Lewis	Adrian Peterson	Jaylen Samuels	Courtland Sutton
Justin Jackson	Jared Goff	Michael Gallup	James Washington	Larry Fitzgerald	Kalen Ballage	Trey Burton	Darwin Thompson	Delanie Walker	David Njoku
Ronald Jones	JAX DEF	Marquez Valdes-Scantling	BUF DEF	Alexander Mattison	LAR DEF	Nyheim Hines	Miles Boykin	Justice Hill	DK Metcalf
Jamaal Williams	Frank Gore	BAL DEF	Jalen Richard	Donte Moncrief	Tyrell Williams	DAL DEF	Jalen Hurd	CLE DEF	Kyler Murray
Damien Harris	Ty Montgomery II	C.J. Anderson	Keke Coutee	SEA DEF	Mark Andrews	Ben Roethlisberger	NYJ DEF	Geronimo Allison	MIN DEF
