name,pos,team,proj,fp_proj_4pt,rescore_delta
Josh Allen,QB,BUF,415.7,372.2,43.5
Drake Maye,QB,NE,373.1,326.9,46.2
Lamar Jackson,QB,BAL,371.6,325.0,46.6
Joe Burrow,QB,CIN,366.1,310.9,55.2
Jayden Daniels,QB,WAS,363.1,325.5,37.6
Jalen Hurts,QB,PHI,361.8,320.6,41.2
Dak Prescott,QB,DAL,356.4,306.1,50.3
Matthew Stafford,QB,LAR,353.3,294.0,59.3
Brock Purdy,QB,SF,348.4,307.4,41.0
Patrick Mahomes II,QB,KC,346.8,303.6,43.2
Jaxson Dart,QB,NYG,345.4,311.8,33.6
Trevor Lawrence,QB,JAX,344.1,304.0,40.1
Caleb Williams,QB,CHI,343.6,298.7,44.9
Justin Herbert,QB,LAC,340.9,300.2,40.7
Jared Goff,QB,DET,340.8,287.4,53.4
Bo Nix,QB,DEN,340.3,297.9,42.4
Jahmyr Gibbs,RB,DET,336.9,337.2,-0.3
Bijan Robinson,RB,ATL,332.4,332.2,0.2
Baker Mayfield,QB,TB,322.0,282.5,39.5
Tyler Shough,QB,NO,318.8,286.4,32.4
Kyler Murray,QB,MIN,313.3,280.3,33.0
Jordan Love,QB,GB,310.6,267.7,42.9
Daniel Jones,QB,IND,310.1,274.5,35.6
Sam Darnold,QB,SEA,307.9,266.4,41.5
C.J. Stroud,QB,HOU,296.2,260.7,35.5
Christian McCaffrey,RB,SF,295.6,295.7,-0.1
Malik Willis,QB,MIA,292.5,269.7,22.8
Jonathan Taylor,RB,IND,290.3,289.9,0.4
Puka Nacua,WR,LAR,281.3,281.3,0.0
Bryce Young,QB,CAR,280.4,249.0,31.4
Ja'Marr Chase,WR,CIN,275.3,275.4,-0.1
Jaxon Smith-Njigba,WR,SEA,268.9,268.6,0.3
Derrick Henry,RB,BAL,264.2,264.2,0.0
Geno Smith,QB,NYJ,262.0,233.2,28.8
Jacoby Brissett,QB,ARI,261.4,232.4,29.0
Cam Ward,QB,TEN,261.3,232.2,29.1
Amon-Ra St. Brown,WR,DET,261.0,261.1,-0.1
De'Von Achane,RB,MIA,259.5,259.3,0.2
Aaron Rodgers,QB,PIT,258.9,224.5,34.4
James Cook III,RB,BUF,253.5,253.5,0.0
Ashton Jeanty,RB,LV,247.1,247.5,-0.4
Chase Brown,RB,CIN,246.9,247.1,-0.2
Saquon Barkley,RB,PHI,244.9,245.1,-0.2
Josh Jacobs,RB,GB,239.0,239.1,-0.1
Drake London,WR,ATL,238.1,238.3,-0.2
Omarion Hampton,RB,LAC,238.1,237.7,0.4
Breece Hall,RB,NYJ,229.5,229.8,-0.3
Kenneth Walker III,RB,KC,228.3,228.7,-0.4
Jeremiyah Love,RB,ARI,228.0,228.1,-0.1
Rashee Rice,WR,KC,224.2,224.0,0.2
CeeDee Lamb,WR,DAL,223.9,224.2,-0.3
Kyren Williams,RB,LAR,223.4,223.2,0.2
Cam Skattebo,RB,NYG,221.3,221.5,-0.2
Justin Jefferson,WR,MIN,220.3,220.3,0.0
Javonte Williams,RB,DAL,217.8,217.4,0.4
Fernando Mendoza,QB,LV,213.7,193.1,20.6
A.J. Brown,WR,NE,212.8,213.1,-0.3
George Pickens,WR,DAL,210.8,210.8,0.0
Chris Olave,WR,NO,210.5,210.6,-0.1
Travis Etienne Jr.,RB,NO,209.7,209.6,0.1
Nico Collins,WR,HOU,207.3,207.2,0.1
D'Andre Swift,RB,CHI,205.3,205.3,0.0
Bucky Irving,RB,TB,204.2,204.0,0.2
Zay Flowers,WR,BAL,202.8,202.8,0.0
Trey McBride,TE,ARI,200.0,199.8,0.2
Brock Bowers,TE,LV,195.4,195.5,-0.1
Quinshon Judkins,RB,CLE,194.3,194.5,-0.2
Garrett Wilson,WR,NYJ,194.1,194.0,0.1
Malik Nabers,WR,NYG,194.0,194.3,-0.3
Bhayshul Tuten,RB,JAX,193.4,193.8,-0.4
DeVonta Smith,WR,PHI,192.8,192.9,-0.1
Emeka Egbuka,WR,TB,191.6,191.8,-0.2
Tetairoa McMillan,WR,CAR,188.5,188.7,-0.2
Tua Tagovailoa,QB,ATL,187.8,164.5,23.3
Davante Adams,WR,LAR,187.7,187.8,-0.1
Tee Higgins,WR,CIN,186.1,186.1,0.0
Jameson Williams,WR,DET,185.1,185.1,0.0
TreVeyon Henderson,RB,NE,182.8,182.7,0.1
Rome Odunze,WR,CHI,177.9,178.1,-0.2
Jadarian Price,RB,SEA,176.9,176.6,0.3
David Montgomery,RB,HOU,176.4,176.8,-0.4
Terry McLaurin,WR,WAS,176.0,176.1,-0.1
Tony Pollard,RB,TEN,175.4,175.0,0.4
Alec Pierce,WR,IND,175.3,175.5,-0.2
Ladd McConkey,WR,LAC,174.0,174.1,-0.1
Jaylen Warren,RB,PIT,173.5,173.7,-0.2
DJ Moore,WR,BUF,173.5,173.3,0.2
Jaylen Waddle,WR,DEN,172.4,172.5,-0.1
Rico Dowdle,RB,PIT,172.2,171.7,0.5
Luther Burden III,WR,CHI,171.7,171.8,-0.1
Colston Loveland,TE,CHI,170.5,170.3,0.2
Mike Evans,WR,SF,170.4,170.2,0.2
Courtland Sutton,WR,DEN,169.6,169.7,-0.1
Chuba Hubbard,RB,CAR,168.1,168.2,-0.1
Rhamondre Stevenson,RB,NE,167.1,167.5,-0.4
Marvin Harrison Jr.,WR,ARI,163.6,163.7,-0.1
DK Metcalf,WR,PIT,162.8,162.7,0.1
Christian Watson,WR,GB,162.7,162.8,-0.1
J.K. Dobbins,RB,DEN,162.2,161.8,0.4
Tyler Warren,TE,IND,160.5,160.7,-0.2
Kyle Pitts Sr.,TE,ATL,155.9,155.9,0.0
RJ Harvey,RB,DEN,154.3,154.6,-0.3
Brian Thomas Jr.,WR,JAX,151.5,151.8,-0.3
Michael Pittman Jr.,WR,PIT,150.0,149.7,0.3
Harold Fannin Jr.,TE,CLE,149.8,149.7,0.1
Parker Washington,WR,JAX,148.6,148.4,0.2
Sam LaPorta,TE,DET,148.6,148.4,0.2
Jakobi Meyers,WR,JAX,148.6,148.4,0.2
Rachaad White,RB,WAS,148.0,147.8,0.2
Carnell Tate,WR,TEN,148.0,148.2,-0.2
Aaron Jones Sr.,RB,MIN,147.7,147.6,0.1
Wan'Dale Robinson,WR,TEN,147.4,147.4,0.0
Dallas Goedert,TE,PHI,146.9,146.6,0.3
Tucker Kraft,TE,GB,145.2,145.2,0.0
Kyle Monangai,RB,CHI,144.6,144.5,0.1
Jayden Reed,WR,GB,144.6,144.9,-0.3
Deebo Samuel Sr.,WR,SF,144.4,144.0,0.4
Travis Kelce,TE,KC,144.1,144.4,-0.3
Kenny Gainwell,RB,TB,143.5,143.4,0.1
Shedeur Sanders,QB,CLE,143.1,131.8,11.3
Michael Wilson,WR,ARI,143.1,142.9,0.2
Quentin Johnston,WR,LAC,143.0,143.0,0.0
Chris Godwin Jr.,WR,TB,142.0,141.9,0.1
Jordan Addison,WR,MIN,141.5,141.3,0.2
Jordyn Tyson,WR,NO,140.8,140.9,-0.1
Stefon Diggs,WR,WAS,140.7,140.7,0.0
Xavier Worthy,WR,KC,139.9,139.7,0.2
Jacory Croskey-Merritt,RB,WAS,138.5,138.0,0.5
George Kittle,TE,SF,138.5,138.6,-0.1
Josh Downs,WR,IND,136.3,136.4,-0.1
Khalil Shakir,WR,BUF,135.2,135.6,-0.4
Isaiah Likely,TE,NYG,134.1,133.9,0.2
Mark Andrews,TE,BAL,134.0,134.0,0.0
Makai Lemon,WR,PHI,133.9,134.0,-0.1
Romeo Doubs,WR,NE,132.5,132.5,0.0
